# project_name	CGP								
# subproject_name									
# primary_contact	Sebastian Alvarez-Costes								
# primary_contact_institution	"University of Otago, Dunedin, New Zealand"								
# primary_contact_email	sebas.alco@gmail.com								
# date_of_update	20/4/26								
# schema_version	ebp_species_goat_2.6								
ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	publication_id	project_org	common_name
27602	Balaena mysticetus		Balaenidae	long_list	in assembly				Bowhead Whale
9767	Balaenoptera acutorostrata		Balaenopteridae	long_list	published		10.12688/wellcomeopenres.23367.1		Common Minke Whale
33556	Balaenoptera bonaerensis		Balaenopteridae	long_list					Antarctic Minke Whale
9768	Balaenoptera borealis		Balaenopteridae	long_list	published		10.12688/wellcomeopenres.25411.1		Sei Whale
9769	Balaenoptera edeni		Balaenopteridae	long_list					Bryde's Whale
9771	Balaenoptera musculus		Balaenopteridae	long_list	published		10.1093/molbev/msae036		Blue Whale
255217	Balaenoptera omurai		Balaenopteridae	long_list					Omura's Whale
9770	Balaenoptera physalus		Balaenopteridae	long_list	published		10.12688/wellcomeopenres.25412.1		Fin Whale
2746895	Balaenoptera ricei		Balaenopteridae	long_list	published		10.3389/fmars.2025.1562045		Rice's whale
74391	Berardius arnuxii		Ziphiidae	long_list					Arnoux's Beaked Whale
48742	Berardius bairdii		Ziphiidae	long_list	in_assembly			LOEWE-TBG	Baird's Beaked Whale
2608848	Berardius minimus		Ziphiidae	long_list					Black beaked whale
27604	Caperea marginata		Neobalaenidae	long_list					Pygmy Right Whale
103582	Cephalorhynchus commersonii		Delphinidae	long_list					Commerson's Dolphin
27608	Cephalorhynchus eutropia		Delphinidae	long_list					Chilean Dolphin
103583	Cephalorhynchus heavisidii		Delphinidae	long_list					Heaviside's Dolphin
37035	Cephalorhynchus hectori		Delphinidae	long_list	published		https://doi.org/10.1111/1755-0998.14109	https://data.agdr.org.nz/discovery/NZ-00058/	Hector's Dolphin
9749	Delphinapterus leucas		Monodontidae	long_list	in assembly				Beluga
103584	Delphinus capensis		Delphinidae	long_list					Long-Beaked Common Dolphin
9728	Delphinus delphis		Delphinidae	long_list	published		10.3389/fmars.2025.1562045		Short-Beaked (saddle-backed) Common Dolphin
9764	Eschrichtius robustus		Eschrichtiidae	long_list	published		10.3389/fmars.2025.1562045		Gray Whale
160595	Eubalaena australis		Balaenidae	long_list					Southern Right Whale
27606	Eubalaena glacialis		Balaenidae	long_list	published		10.3389/fmars.2025.1562045		North Atlantic Right Whale
302098	Eubalaena japonica		Balaenidae	long_list					North Pacific Right Whale
103592	Feresa attenuata		Delphinidae	long_list					Pygmy Killer Whale
38241	Globicephala macrorhynchus		Delphinidae	long_list					Short-Finned Pilot Whale
9731	Globicephala melas		Delphinidae	long_list	published		10.12688/wellcomeopenres.23919.1		Long-Finned Pilot Whale
83653	Grampus griseus		Delphinidae	long_list	published		10.35802/218328/wellcomeopenres.24752.1		Risso's Dolphin
